,Filename,Label
0,LA_E_2834763,1
1,LA_E_8877452,1
2,LA_E_6828287,1
3,LA_E_6977360,1
4,LA_E_5932896,1
5,LA_E_5849185,0
6,LA_E_6163791,1
7,LA_E_4581379,0
8,LA_E_8814547,1
9,LA_E_9157999,1
10,LA_E_1611480,1
11,LA_E_6841754,1
12,LA_E_1781840,1
13,LA_E_8872199,1
14,LA_E_1837629,1
15,LA_E_6314733,0
16,LA_E_8469141,1
17,LA_E_3379393,0
18,LA_E_7783830,1
19,LA_E_8339197,1
20,LA_E_9472752,1
21,LA_E_1425990,1
22,LA_E_9088738,1
23,LA_E_2520601,1
24,LA_E_2355000,1
25,LA_E_7535126,1
26,LA_E_2394352,1
27,LA_E_5884357,1
28,LA_E_8787897,1
29,LA_E_3125426,1
30,LA_E_6320499,1
31,LA_E_8617121,1
32,LA_E_2608310,1
33,LA_E_7203940,1
34,LA_E_8868279,1
35,LA_E_7462445,1
36,LA_E_8844552,1
37,LA_E_9120891,1
38,LA_E_2634822,1
39,LA_E_3757378,0
40,LA_E_4550461,1
41,LA_E_4920751,1
42,LA_E_9817776,1
43,LA_E_4557471,1
44,LA_E_1070406,1
45,LA_E_3003752,0
46,LA_E_8806575,1
47,LA_E_2417530,1
48,LA_E_5323454,0
49,LA_E_2947508,1
50,LA_E_8469160,1
51,LA_E_1027220,0
52,LA_E_9328266,1
53,LA_E_3820322,1
54,LA_E_4751686,1
55,LA_E_7655544,1
56,LA_E_8925219,1
57,LA_E_8110643,1
58,LA_E_2775552,1
59,LA_E_9276097,1
60,LA_E_5246322,1
61,LA_E_6092883,1
62,LA_E_7355163,1
63,LA_E_9804952,1
64,LA_E_2985346,1
65,LA_E_8285179,1
66,LA_E_5118048,1
67,LA_E_4430413,1
68,LA_E_3558965,1
69,LA_E_4732931,1
70,LA_E_4757272,0
71,LA_E_8992946,1
72,LA_E_8155315,1
73,LA_E_2143322,1
74,LA_E_9382115,1
75,LA_E_4641783,1
76,LA_E_5210371,1
77,LA_E_1746654,1
78,LA_E_7824929,0
79,LA_E_8816717,1
80,LA_E_3746504,1
81,LA_E_8463157,1
82,LA_E_7642353,1
83,LA_E_5157926,1
84,LA_E_8979583,1
85,LA_E_2665242,1
86,LA_E_6154503,0
87,LA_E_1395552,0
88,LA_E_9500557,1
89,LA_E_5194826,1
90,LA_E_1424685,1
91,LA_E_6624193,1
92,LA_E_5871315,0
93,LA_E_3378367,1
94,LA_E_9853957,1
95,LA_E_4988348,1
96,LA_E_2161075,0
97,LA_E_3750625,1
98,LA_E_4850719,1
99,LA_E_8562955,1
100,LA_E_9989698,1
101,LA_E_5291521,1
102,LA_E_6816952,1
103,LA_E_4282641,1
104,LA_E_9944556,1
105,LA_E_8767294,1
106,LA_E_8534064,1
107,LA_E_1144382,1
108,LA_E_8697552,1
109,LA_E_4770782,1
110,LA_E_7779557,1
111,LA_E_2268693,1
112,LA_E_9140267,1
113,LA_E_9528968,0
