,Filename,Label
0,LA_D_1047731,0
1,LA_D_1105538,0
2,LA_D_1125976,0
3,LA_D_1293230,0
4,LA_D_1340209,0
5,LA_D_1376638,0
6,LA_D_1377420,0
7,LA_D_1403371,0
8,LA_D_1590530,0
9,LA_D_1595036,0
10,LA_D_1618135,0
11,LA_D_1624385,0
12,LA_D_1766721,0
13,LA_D_1833136,0
14,LA_D_1837988,0
15,LA_D_1849134,0
16,LA_D_1865278,0
17,LA_D_1896334,0
18,LA_D_1911275,0
19,LA_D_2112837,0
20,LA_D_2160989,0
21,LA_D_2242311,0
22,LA_D_2250508,0
23,LA_D_2414004,0
24,LA_D_2448116,0
25,LA_D_2462911,0
26,LA_D_2559281,0
27,LA_D_2666979,0
28,LA_D_2679014,0
29,LA_D_2789932,0
30,LA_D_2831561,0
31,LA_D_2954423,0
32,LA_D_3081203,0
33,LA_D_3174543,0
34,LA_D_3212286,0
35,LA_D_3232165,0
36,LA_D_3258694,0
37,LA_D_3315698,0
38,LA_D_3369144,0
39,LA_D_3404272,0
40,LA_D_3444700,0
41,LA_D_3477067,0
42,LA_D_3524013,0
43,LA_D_3547565,0
44,LA_D_3552967,0
45,LA_D_3726485,0
46,LA_D_3771133,0
47,LA_D_3776953,0
48,LA_D_3806476,0
49,LA_D_4026041,0
50,LA_D_4145630,0
51,LA_D_4228839,0
52,LA_D_4229637,0
53,LA_D_4395169,0
54,LA_D_4443630,0
55,LA_D_4455776,0
56,LA_D_4511951,0
57,LA_D_4517590,0
58,LA_D_4523147,0
59,LA_D_4574058,0
60,LA_D_4621778,0
61,LA_D_4715569,0
62,LA_D_4739519,0
63,LA_D_4807096,0
64,LA_D_4930262,0
65,LA_D_4935874,0
66,LA_D_4949188,0
67,LA_D_4981154,0
68,LA_D_5019937,0
69,LA_D_5240657,0
70,LA_D_5255870,0
71,LA_D_5267249,0
72,LA_D_5278285,0
73,LA_D_5324608,0
74,LA_D_5336291,0
75,LA_D_5386683,0
76,LA_D_5401591,0
77,LA_D_5431436,0
78,LA_D_5445492,0
79,LA_D_5521273,0
80,LA_D_5547400,0
81,LA_D_5575912,0
82,LA_D_5604212,0
83,LA_D_5607743,0
84,LA_D_5701193,0
85,LA_D_5769965,0
86,LA_D_5842422,0
87,LA_D_5855069,0
88,LA_D_5859556,0
89,LA_D_5870696,0
90,LA_D_5972310,0
91,LA_D_5989648,0
92,LA_D_6022982,0
93,LA_D_6056778,0
94,LA_D_6059653,0
95,LA_D_6211292,0
96,LA_D_6291895,0
97,LA_D_6397937,0
98,LA_D_6402048,0
99,LA_D_6448946,0
100,LA_D_6648802,0
101,LA_D_6663247,0
102,LA_D_6679303,0
103,LA_D_6724166,0
104,LA_D_6853824,0
105,LA_D_6976006,0
106,LA_D_7030288,0
107,LA_D_7051994,0
108,LA_D_7054977,0
109,LA_D_7130250,0
110,LA_D_7140023,0
111,LA_D_7148850,0
112,LA_D_7194660,0
113,LA_D_7269236,0
114,LA_D_7341689,0
115,LA_D_7360454,0
116,LA_D_7399617,0
117,LA_D_7450790,0
118,LA_D_7473394,0
119,LA_D_7521836,0
120,LA_D_7543100,0
121,LA_D_7638211,0
122,LA_D_7679130,0
123,LA_D_7758918,0
124,LA_D_7793148,0
125,LA_D_8017626,0
126,LA_D_8184939,0
127,LA_D_8241585,0
128,LA_D_8428131,0
129,LA_D_8432583,0
130,LA_D_8736165,0
131,LA_D_8750703,0
132,LA_D_8764814,0
133,LA_D_8812163,0
134,LA_D_8813855,0
135,LA_D_8817568,0
136,LA_D_8869015,0
137,LA_D_8869959,0
138,LA_D_8923486,0
139,LA_D_8966044,0
